Date,Time,Open,High,Low,Close,Tickvol,Spread
2019-12-19,20:00:00,1.6154,1.61583,1.61415,1.61434,3096,14
2019-12-20,00:00:00,1.61435,1.61437,1.6111,1.61197,4648,14
2019-12-20,04:00:00,1.61197,1.61459,1.61187,1.61357,4088,14
2019-12-20,08:00:00,1.61356,1.6138,1.6081,1.60899,6162,14
2019-12-20,12:00:00,1.60901,1.60961,1.60509,1.6056,6522,14
2019-12-20,16:00:00,1.60557,1.6058,1.60325,1.60451,4603,14
2019-12-20,20:00:00,1.60451,1.60553,1.60437,1.60478,1738,14
2019-12-22,20:00:00,1.60677,1.60685,1.60447,1.60449,1495,14
2019-12-23,00:00:00,1.60447,1.60554,1.60242,1.60436,4585,14
2019-12-23,04:00:00,1.60436,1.60526,1.60288,1.60346,4287,14
2019-12-23,08:00:00,1.60346,1.6042,1.59898,1.59951,5686,14
2019-12-23,12:00:00,1.59952,1.60495,1.59876,1.60285,6299,14
2019-12-23,16:00:00,1.60281,1.60412,1.60209,1.60209,4310,14
2019-12-23,20:00:00,1.60208,1.60346,1.60103,1.60152,3269,14
2019-12-24,00:00:00,1.60151,1.60396,1.60078,1.60342,4689,14
2019-12-24,04:00:00,1.60342,1.60396,1.6015,1.60179,3912,14
2019-12-24,08:00:00,1.60178,1.60198,1.59977,1.60048,5347,14
2019-12-24,12:00:00,1.60048,1.60212,1.60002,1.60077,5288,14
2019-12-24,16:00:00,1.60076,1.60168,1.60035,1.60144,2170,14
2019-12-26,04:00:00,1.60068,1.60069,1.59975,1.60023,890,14
2019-12-26,08:00:00,1.60024,1.60158,1.60015,1.6012,2525,14
2019-12-26,12:00:00,1.6012,1.60219,1.59888,1.5994,3572,14
2019-12-26,16:00:00,1.59939,1.60052,1.59859,1.59859,2730,14
2019-12-26,20:00:00,1.59858,1.59873,1.59715,1.59803,3418,14
2019-12-27,00:00:00,1.59803,1.59969,1.59725,1.59871,4703,14
2019-12-27,04:00:00,1.59871,1.60162,1.59841,1.60104,4341,14
2019-12-27,08:00:00,1.60106,1.60184,1.59773,1.5996,6564,14
2019-12-27,12:00:00,1.5996,1.60216,1.59843,1.59861,7178,14
2019-12-27,16:00:00,1.59861,1.60348,1.59822,1.60121,5272,14
2019-12-27,20:00:00,1.60124,1.60171,1.59947,1.60011,1834,14
2019-12-29,20:00:00,1.60036,1.6021,1.59921,1.60129,1999,14
2019-12-30,00:00:00,1.6013,1.60239,1.59989,1.60235,5378,14
2019-12-30,04:00:00,1.60235,1.60349,1.60137,1.60252,5134,14
2019-12-30,08:00:00,1.60251,1.60322,1.59932,1.59954,6152,14
2019-12-30,12:00:00,1.59954,1.60255,1.59826,1.6012,7262,14
2019-12-30,16:00:00,1.60116,1.6021,1.59948,1.60072,5075,14
2019-12-30,20:00:00,1.60072,1.60169,1.59948,1.59987,3456,14
2019-12-31,00:00:00,1.59986,1.60084,1.59906,1.59975,4660,14
2019-12-31,04:00:00,1.59975,1.6,1.59805,1.59874,3551,14
2019-12-31,08:00:00,1.59873,1.60104,1.59848,1.60076,5634,14
2019-12-31,12:00:00,1.60075,1.60149,1.59675,1.59696,7253,14
2019-12-31,16:00:00,1.59699,1.59855,1.59637,1.59854,3251,14
2020-01-02,00:00:00,1.59928,1.60043,1.59847,1.60042,3597,14
2020-01-02,04:00:00,1.60042,1.6017,1.59928,1.60116,4855,14
2020-01-02,08:00:00,1.60117,1.60223,1.59998,1.60128,6402,14
2020-01-02,12:00:00,1.60126,1.60175,1.59746,1.59946,7638,14
2020-01-02,16:00:00,1.59947,1.60129,1.59891,1.59929,5994,14
2020-01-02,20:00:00,1.59929,1.6,1.5973,1.59956,3337,14
2020-01-03,00:00:00,1.59956,1.60438,1.59948,1.6032,6546,14
2020-01-03,04:00:00,1.60321,1.60487,1.60259,1.6038,6202,14
2020-01-03,08:00:00,1.60377,1.60621,1.60304,1.60544,7707,14
2020-01-03,12:00:00,1.60545,1.60587,1.60268,1.60497,8026,14
2020-01-03,16:00:00,1.60494,1.60598,1.60402,1.60481,5706,14
2020-01-03,20:00:00,1.60479,1.60619,1.60463,1.60588,1807,14
2020-01-05,20:00:00,1.60814,1.6095,1.60712,1.60726,1801,36
2020-01-06,00:00:00,1.60724,1.60906,1.60493,1.60836,5924,14
2020-01-06,04:00:00,1.60836,1.60945,1.60672,1.60739,5358,14
2020-01-06,08:00:00,1.60737,1.61267,1.60628,1.61248,7342,14
2020-01-06,12:00:00,1.61248,1.61507,1.61015,1.61382,7242,14
2020-01-06,16:00:00,1.61377,1.61466,1.6127,1.61395,4766,14
2020-01-06,20:00:00,1.61395,1.61429,1.61248,1.61385,3324,14
2020-01-07,00:00:00,1.61383,1.61537,1.61312,1.61347,4871,14
2020-01-07,04:00:00,1.61347,1.61969,1.61346,1.61929,6367,14
2020-01-07,08:00:00,1.61928,1.62699,1.61791,1.62603,7844,14
2020-01-07,12:00:00,1.62603,1.62604,1.6212,1.62209,8216,14
2020-01-07,16:00:00,1.62207,1.6238,1.62173,1.62244,5238,14
2020-01-07,20:00:00,1.62243,1.62724,1.62223,1.62596,4716,14
2020-01-08,00:00:00,1.62597,1.62915,1.62105,1.62323,10239,14
2020-01-08,04:00:00,1.62324,1.62354,1.61983,1.62037,6270,14
2020-01-08,08:00:00,1.62033,1.62163,1.61834,1.61941,8185,14
2020-01-08,12:00:00,1.61941,1.62358,1.61892,1.62208,7898,14
2020-01-08,16:00:00,1.62207,1.62263,1.61616,1.61692,6677,14
2020-01-08,20:00:00,1.61693,1.61858,1.61632,1.61635,4038,14
2020-01-09,00:00:00,1.61633,1.61824,1.61584,1.61766,5296,14
2020-01-09,04:00:00,1.61766,1.61839,1.61578,1.6166,5017,14
2020-01-09,08:00:00,1.61661,1.6205,1.61618,1.61915,7023,14
2020-01-09,12:00:00,1.61915,1.62074,1.61835,1.61984,7209,14
2020-01-09,16:00:00,1.61982,1.62162,1.61903,1.62101,4944,14
2020-01-09,20:00:00,1.621,1.621,1.61895,1.62081,3111,14
2020-01-10,00:00:00,1.62081,1.62106,1.61693,1.61697,5096,14
2020-01-10,04:00:00,1.61696,1.61696,1.61402,1.61482,4810,14
2020-01-10,08:00:00,1.61483,1.61558,1.61083,1.61145,6593,14
2020-01-10,12:00:00,1.61148,1.61388,1.60904,1.60923,8164,14
2020-01-10,16:00:00,1.60919,1.61248,1.60918,1.60954,5446,14
2020-01-10,20:00:00,1.60957,1.61204,1.60954,1.61172,1856,14
2020-01-12,20:00:00,1.6114,1.61171,1.60972,1.61079,1570,14
2020-01-13,00:00:00,1.61082,1.61133,1.6081,1.609,4599,14
2020-01-13,04:00:00,1.609,1.6097,1.60842,1.60845,4320,14
2020-01-13,08:00:00,1.60846,1.61215,1.60846,1.61153,6778,14
2020-01-13,12:00:00,1.61155,1.61307,1.60947,1.61238,6916,14
2020-01-13,16:00:00,1.61237,1.6129,1.61096,1.61277,4769,14
2020-01-13,20:00:00,1.61276,1.61414,1.61245,1.61402,2975,14
2020-01-14,00:00:00,1.61406,1.6169,1.61238,1.61406,5743,14
2020-01-14,04:00:00,1.61404,1.6151,1.61296,1.61343,4856,14
2020-01-14,08:00:00,1.61344,1.61592,1.6118,1.6121,6983,14
2020-01-14,12:00:00,1.6121,1.61294,1.60866,1.61175,7479,14
2020-01-14,16:00:00,1.61174,1.61407,1.61137,1.61187,5299,14
2020-01-14,20:00:00,1.61189,1.614,1.61113,1.61383,2974,14
2020-01-15,00:00:00,1.61384,1.61448,1.61251,1.61394,5022,14
2020-01-15,04:00:00,1.61394,1.61504,1.61317,1.61382,4265,14
2020-01-15,08:00:00,1.61381,1.61805,1.61341,1.61681,6351,14
2020-01-15,12:00:00,1.61679,1.61981,1.61492,1.61512,7465,14
2020-01-15,16:00:00,1.61513,1.61587,1.61354,1.61521,5243,14
2020-01-15,20:00:00,1.61521,1.61608,1.61413,1.61449,3152,14
2020-01-16,00:00:00,1.61448,1.61567,1.61272,1.61501,4608,14
