Date,Time,Open,High,Low,Close
2020-03-20,08:00:00,1.81471,1.82348,1.80827,1.8183
2020-03-20,12:00:00,1.81831,1.84272,1.81295,1.82866
2020-03-20,16:00:00,1.82876,1.84899,1.8262,1.83861
2020-03-20,20:00:00,1.83866,1.85828,1.83689,1.84343
2020-03-22,20:00:00,1.84131,1.86772,1.83701,1.85775
2020-03-23,00:00:00,1.85775,1.87483,1.84894,1.86146
2020-03-23,04:00:00,1.86143,1.86811,1.84773,1.84813
2020-03-23,08:00:00,1.84815,1.86679,1.84583,1.86679
2020-03-23,12:00:00,1.86679,1.87448,1.84387,1.87013
2020-03-23,16:00:00,1.87016,1.87053,1.84888,1.85179
2020-03-23,20:00:00,1.85186,1.85385,1.8298,1.8318
2020-03-24,00:00:00,1.83182,1.83532,1.81693,1.8234
2020-03-24,04:00:00,1.82339,1.83047,1.81197,1.82091
2020-03-24,08:00:00,1.82088,1.84343,1.81613,1.84238
2020-03-24,12:00:00,1.84248,1.84634,1.80927,1.82153
2020-03-24,16:00:00,1.82151,1.82652,1.8159,1.81616
2020-03-24,20:00:00,1.81607,1.817,1.80244,1.80842
2020-03-25,00:00:00,1.8086,1.8167,1.80649,1.80719
2020-03-25,04:00:00,1.80723,1.80977,1.78859,1.78913
2020-03-25,08:00:00,1.78912,1.80426,1.78349,1.7997
2020-03-25,12:00:00,1.79967,1.82027,1.79238,1.81962
2020-03-25,16:00:00,1.81955,1.82808,1.81339,1.82507
2020-03-25,20:00:00,1.82502,1.84583,1.82397,1.84385
2020-03-26,00:00:00,1.84424,1.8572,1.84156,1.84527
2020-03-26,04:00:00,1.84523,1.84692,1.83605,1.83726
2020-03-26,08:00:00,1.83732,1.84041,1.82,1.82756
2020-03-26,12:00:00,1.82761,1.83052,1.81227,1.8221
2020-03-26,16:00:00,1.82205,1.82642,1.81293,1.82189
2020-03-26,20:00:00,1.82185,1.82782,1.8164,1.81754
2020-03-27,00:00:00,1.81755,1.82552,1.80574,1.81219
2020-03-27,04:00:00,1.81222,1.82042,1.80689,1.816
2020-03-27,08:00:00,1.81602,1.81921,1.80769,1.81652
2020-03-27,12:00:00,1.8165,1.8236,1.8011,1.80541
2020-03-27,16:00:00,1.80547,1.80895,1.79433,1.80229
2020-03-27,20:00:00,1.80221,1.80726,1.80085,1.80593
2020-03-29,20:00:00,1.80638,1.8153,1.80119,1.80375
2020-03-30,00:00:00,1.80369,1.81136,1.79895,1.80536
2020-03-30,04:00:00,1.80533,1.80986,1.79736,1.80615
2020-03-30,08:00:00,1.80616,1.80677,1.79744,1.80547
2020-03-30,12:00:00,1.80542,1.80624,1.78681,1.7932
2020-03-30,16:00:00,1.79317,1.79502,1.78547,1.79132
2020-03-30,20:00:00,1.79132,1.79235,1.78705,1.78858
2020-03-31,00:00:00,1.78865,1.80915,1.77851,1.7856
2020-03-31,04:00:00,1.7856,1.78785,1.77336,1.78325
2020-03-31,08:00:00,1.78323,1.79928,1.78145,1.79394
2020-03-31,12:00:00,1.79395,1.80075,1.78706,1.7942
2020-03-31,16:00:00,1.79417,1.80342,1.79219,1.79289
2020-03-31,20:00:00,1.7929,1.80327,1.78974,1.79623
2020-04-01,00:00:00,1.79619,1.80171,1.79425,1.79974
2020-04-01,04:00:00,1.79972,1.81242,1.79612,1.80561
2020-04-01,08:00:00,1.80559,1.80725,1.79821,1.80432
2020-04-01,12:00:00,1.80432,1.80904,1.76766,1.79041
2020-04-01,16:00:00,1.79039,1.8035,1.79016,1.80109
2020-04-01,20:00:00,1.80108,1.80765,1.7976,1.79822
2020-04-02,00:00:00,1.79817,1.80339,1.79511,1.79833
2020-04-02,04:00:00,1.79833,1.80164,1.78916,1.7906
2020-04-02,08:00:00,1.79056,1.79545,1.78796,1.79441
2020-04-02,12:00:00,1.79442,1.80737,1.79268,1.79662
2020-04-02,16:00:00,1.79666,1.79781,1.79095,1.79152
2020-04-02,20:00:00,1.79149,1.79345,1.78765,1.78829
2020-04-03,00:00:00,1.78825,1.7929,1.78638,1.78757
2020-04-03,04:00:00,1.78757,1.78923,1.78477,1.78784
2020-04-03,08:00:00,1.78783,1.80567,1.78779,1.79788
2020-04-03,12:00:00,1.79792,1.80266,1.79293,1.79942
2020-04-03,16:00:00,1.79946,1.80436,1.79716,1.80318
2020-04-03,20:00:00,1.80325,1.80456,1.8009,1.8009
2020-04-05,20:00:00,1.79616,1.80398,1.79609,1.80288
2020-04-06,00:00:00,1.80288,1.80288,1.78834,1.79705
2020-04-06,04:00:00,1.79707,1.80044,1.78512,1.78585
2020-04-06,08:00:00,1.78586,1.78812,1.77616,1.77666
2020-04-06,12:00:00,1.77665,1.77973,1.76815,1.77288
2020-04-06,16:00:00,1.77284,1.77455,1.77081,1.77388
2020-04-06,20:00:00,1.77381,1.7749,1.76443,1.76534
2020-04-07,00:00:00,1.7653,1.7695,1.7635,1.76893
2020-04-07,04:00:00,1.76892,1.77046,1.75504,1.75737
2020-04-07,08:00:00,1.75738,1.76354,1.75502,1.7574
2020-04-07,12:00:00,1.75737,1.76626,1.75665,1.75976
2020-04-07,16:00:00,1.75971,1.76302,1.75655,1.76241
2020-04-07,20:00:00,1.76237,1.77032,1.7619,1.77032
2020-04-08,00:00:00,1.77048,1.77573,1.76785,1.77207
2020-04-08,04:00:00,1.77208,1.7724,1.76675,1.76764
2020-04-08,08:00:00,1.76762,1.77036,1.75682,1.75924
2020-04-08,12:00:00,1.75921,1.76084,1.74275,1.74568
2020-04-08,16:00:00,1.74568,1.74623,1.74082,1.74296
2020-04-08,20:00:00,1.7429,1.74416,1.73869,1.74193
2020-04-09,00:00:00,1.74203,1.74919,1.73985,1.74212
2020-04-09,04:00:00,1.74213,1.75042,1.7409,1.74194
2020-04-09,08:00:00,1.74193,1.74841,1.74134,1.74268
2020-04-09,12:00:00,1.74265,1.7452,1.73114,1.73264
