<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.30	09:00:00	1.56991	1.56992	1.56725	1.56905	2093	0	14
2022.12.30	10:00:00	1.56903	1.57148	1.56899	1.57019	1850	0	14
2022.12.30	11:00:00	1.57017	1.57230	1.57001	1.57047	2293	0	14
2022.12.30	12:00:00	1.57050	1.57297	1.57007	1.57039	2094	0	14
2022.12.30	13:00:00	1.57035	1.57182	1.56875	1.57036	2802	0	14
2022.12.30	14:00:00	1.57032	1.57490	1.56959	1.57459	3820	0	14
2022.12.30	15:00:00	1.57463	1.57858	1.57007	1.57339	5124	0	14
2022.12.30	16:00:00	1.57337	1.57386	1.57058	1.57205	2973	0	14
2022.12.30	17:00:00	1.57201	1.57319	1.57055	1.57073	2319	0	14
2022.12.30	18:00:00	1.57069	1.57367	1.57021	1.57279	2526	0	14
2022.12.30	19:00:00	1.57283	1.57283	1.57105	1.57144	1917	0	14
2022.12.30	20:00:00	1.57141	1.57260	1.57104	1.57253	1914	0	14
2022.12.30	21:00:00	1.57249	1.57271	1.56897	1.57025	4102	0	14
2023.01.01	22:00:00	1.56553	1.56774	1.56165	1.56165	709	0	976
2023.01.01	23:00:00	1.56160	1.56848	1.56126	1.56834	689	0	277
2023.01.02	00:00:00	1.56917	1.57190	1.56881	1.57082	214	0	156
2023.01.02	01:00:00	1.57082	1.57136	1.56997	1.57033	201	0	154
2023.01.02	02:00:00	1.57038	1.57054	1.56894	1.57012	228	0	118
2023.01.02	03:00:00	1.57010	1.57128	1.56956	1.57017	88	0	136
2023.01.02	04:00:00	1.57016	1.57162	1.57000	1.57149	192	0	127
2023.01.02	05:00:00	1.57150	1.57150	1.56920	1.57051	429	0	132
2023.01.02	06:00:00	1.57046	1.57105	1.56667	1.57002	742	0	147
2023.01.02	07:00:00	1.56999	1.57047	1.56693	1.56881	914	0	106
2023.01.02	08:00:00	1.56882	1.57194	1.56682	1.56922	1556	0	113
2023.01.02	09:00:00	1.56914	1.57269	1.56908	1.57110	1577	0	106
2023.01.02	10:00:00	1.57105	1.57158	1.56886	1.57154	3340	0	107
2023.01.02	11:00:00	1.57157	1.57172	1.56909	1.56946	1248	0	109
2023.01.02	12:00:00	1.56960	1.57063	1.56739	1.56819	1363	0	113
2023.01.02	13:00:00	1.56820	1.56989	1.56797	1.56845	1380	0	112
2023.01.02	14:00:00	1.56861	1.56863	1.56575	1.56600	884	0	106
2023.01.02	15:00:00	1.56605	1.56622	1.56295	1.56310	600	0	103
2023.01.02	16:00:00	1.56306	1.56449	1.56210	1.56296	1184	0	105
2023.01.02	17:00:00	1.56305	1.56395	1.56290	1.56362	1444	0	112
2023.01.02	18:00:00	1.56359	1.56404	1.56272	1.56347	831	0	104
2023.01.02	19:00:00	1.56351	1.56516	1.56280	1.56468	796	0	105
2023.01.02	20:00:00	1.56461	1.56727	1.56448	1.56670	942	0	123
2023.01.02	21:00:00	1.56668	1.56861	1.56626	1.56731	533	0	136
2023.01.02	22:00:00	1.56247	1.56637	1.56125	1.56416	616	0	491
2023.01.02	23:00:00	1.56678	1.56861	1.56148	1.56684	2818	0	186
2023.01.03	00:00:00	1.56776	1.57054	1.56705	1.56965	1364	0	101
2023.01.03	01:00:00	1.56969	1.57276	1.56965	1.57187	2444	0	14
2023.01.03	02:00:00	1.57189	1.57232	1.56674	1.56739	2126	0	14
2023.01.03	03:00:00	1.56742	1.56742	1.56183	1.56219	1993	0	14
2023.01.03	04:00:00	1.56221	1.56463	1.56221	1.56242	1320	0	14
2023.01.03	05:00:00	1.56239	1.57062	1.56220	1.56905	2224	0	14
2023.01.03	06:00:00	1.56909	1.56909	1.56619	1.56619	1929	0	14
2023.01.03	07:00:00	1.56616	1.56740	1.56473	1.56526	2845	0	14
2023.01.03	08:00:00	1.56523	1.57332	1.56523	1.57194	5652	0	14
2023.01.03	09:00:00	1.57191	1.57415	1.56862	1.56914	4413	0	14
2023.01.03	10:00:00	1.56916	1.57207	1.56916	1.57086	3044	0	14
2023.01.03	11:00:00	1.57085	1.57376	1.57081	1.57177	2807	0	14
2023.01.03	12:00:00	1.57181	1.57299	1.57096	1.57103	2557	0	14
2023.01.03	13:00:00	1.57100	1.57185	1.56727	1.56731	3474	0	14
2023.01.03	14:00:00	1.56735	1.56979	1.56442	1.56663	4259	0	14
2023.01.03	15:00:00	1.56666	1.56996	1.56511	1.56526	4258	0	14
2023.01.03	16:00:00	1.56522	1.56919	1.56439	1.56890	3407	0	14
2023.01.03	17:00:00	1.56886	1.56886	1.56632	1.56742	2222	0	14
2023.01.03	18:00:00	1.56745	1.56924	1.56740	1.56773	1785	0	14
2023.01.03	19:00:00	1.56774	1.56914	1.56722	1.56856	1932	0	14
2023.01.03	20:00:00	1.56852	1.56957	1.56788	1.56810	1746	0	14
2023.01.03	21:00:00	1.56812	1.56904	1.56745	1.56780	892	0	14
2023.01.03	22:00:00	1.56726	1.56765	1.56597	1.56700	724	0	57
2023.01.03	23:00:00	1.56732	1.56954	1.56724	1.56783	1068	0	24
2023.01.04	00:00:00	1.56794	1.56917	1.56561	1.56561	1688	0	14
2023.01.04	01:00:00	1.56564	1.56582	1.56155	1.56203	2312	0	14
2023.01.04	02:00:00	1.56200	1.56225	1.55955	1.56111	1887	0	14
2023.01.04	03:00:00	1.56113	1.56116	1.55809	1.55818	1433	0	14
2023.01.04	04:00:00	1.55822	1.56011	1.55099	1.55365	2082	0	14
